dna_ID,PC1,PC2,Ethnicity,Region
belarusian47zp,0.0463,2.00E-04,Belarusian,modern
UkrLv228,0.0383,0.0021,Ukrainian,modern
Est397,0.0496,-0.0022,Estonian,modern
Mordovians32,0.0448,0.013,Mordovian,modern
bel82s,0.0451,-4.00E-04,Belarusian,modern
UkrBel614,0.0428,0.0076,Ukrainian,modern
UkrLv237,0.0395,-5.00E-04,Ukrainian,modern
Est394,0.0498,-0.001,Estonian,modern
Mordovians5,0.0457,0.0086,Mordovian,modern
saudi1403,-0.0659,-0.0342,Saudi,modern
NA15202,0.0371,-0.0075,Hungarian,modern
NA15725,0.0394,-0.0063,Czech,modern
NA15733,0.0394,5.00E-04,Czech,modern
NA15762,0.0447,-0.0045,Icelandic,modern
NA17373,0.0095,-0.0053,Greek,modern
NA15203,0.0363,-0.0023,Hungarian,modern
NA15726,0.037,-0.0041,Czech,modern
NA15755,0.0483,-0.014,Icelandic,modern
NA15763,0.0451,-0.0062,Icelandic,modern
NA17374,-0.0177,0.0272,Greek,modern
NA15204,0.031,0,Hungarian,modern
NA15727,0.0392,-0.0065,Czech,modern
NA15756,0.0435,-0.0104,Icelandic,modern
NA15764,0.0405,-0.0073,Icelandic,modern
NA17375,-7.00E-04,0.0053,Greek,modern
NA15205,0.0357,-0.0058,Hungarian,modern
NA15728,0.0371,-0.0051,Czech,modern
NA15757,0.042,-0.0059,Icelandic,modern
NA15765,0.046,-0.0098,Icelandic,modern
NA17376,-0.0111,0.0092,Greek,modern
NA13626,-0.0017,0.0515,Adygei,modern
NA15206,0.033,-0.0051,Hungarian,modern
NA15729,0.0368,-0.005,Czech,modern
NA15758,0.0416,-0.0046,Icelandic,modern
NA15766,0.044,-0.0064,Icelandic,modern
NA17377,0.012,0.0027,Greek,modern
NA15199,0.0354,-0.0045,Hungarian,modern
NA15207,0.0323,0.002,Hungarian,modern
NA15730,0.0359,-0.0053,Czech,modern
NA15759,0.0444,-0.0071,Icelandic,modern
NA13619,-0.0013,0.0593,Ignore_Adygei(relative_of_HGDP01382),modern
NA15200,0.0362,-0.0054,Hungarian,modern
NA15208,0.0349,-0.0063,Hungarian,modern
NA15731,0.0407,-0.0037,Czech,modern
NA15760,0.0446,-0.0055,Icelandic,modern
NA15201,0.0335,-0.003,Hungarian,modern
NA15724,0.0408,-0.0032,Czech,modern
NA15732,0.0414,-0.0018,Czech,modern
NA15761,0.0458,-0.006,Icelandic,modern
